regiao,estado,coduf,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
Norte,RO,11,25/02/2020,9,1777225,0,0,0,0
Norte,RO,11,26/02/2020,9,1777225,0,0,0,0
Norte,RO,11,27/02/2020,9,1777225,0,0,0,0
Norte,RO,11,28/02/2020,9,1777225,0,0,0,0
Norte,RO,11,29/02/2020,9,1777225,0,0,0,0
Norte,RO,11,01/03/2020,10,1777225,0,0,0,0
Norte,RO,11,02/03/2020,10,1777225,0,0,0,0
Norte,RO,11,03/03/2020,10,1777225,0,0,0,0
Norte,RO,11,04/03/2020,10,1777225,0,0,0,0
Norte,RO,11,05/03/2020,10,1777225,0,0,0,0
Norte,RO,11,06/03/2020,10,1777225,0,0,0,0
Norte,RO,11,07/03/2020,10,1777225,0,0,0,0
Norte,RO,11,08/03/2020,11,1777225,0,0,0,0
Norte,RO,11,09/03/2020,11,1777225,0,0,0,0
Norte,RO,11,10/03/2020,11,1777225,0,0,0,0
Norte,RO,11,11/03/2020,11,1777225,0,0,0,0
Norte,RO,11,12/03/2020,11,1777225,0,0,0,0
Norte,RO,11,13/03/2020,11,1777225,0,0,0,0
Norte,RO,11,14/03/2020,11,1777225,0,0,0,0
Norte,RO,11,15/03/2020,12,1777225,0,0,0,0
Norte,RO,11,16/03/2020,12,1777225,0,0,0,0
Norte,RO,11,17/03/2020,12,1777225,0,0,0,0
Norte,RO,11,18/03/2020,12,1777225,0,0,0,0
Norte,RO,11,19/03/2020,12,1777225,0,0,0,0
Norte,RO,11,20/03/2020,12,1777225,1,1,0,0
Norte,RO,11,21/03/2020,12,1777225,1,0,0,0
Norte,RO,11,22/03/2020,13,1777225,3,2,0,0
Norte,RO,11,23/03/2020,13,1777225,3,0,0,0
Norte,RO,11,24/03/2020,13,1777225,3,0,0,0
Norte,RO,11,25/03/2020,13,1777225,5,2,0,0
Norte,RO,11,26/03/2020,13,1777225,5,0,0,0
Norte,RO,11,27/03/2020,13,1777225,6,1,0,0
Norte,RO,11,28/03/2020,13,1777225,6,0,0,0
Norte,RO,11,29/03/2020,14,1777225,6,0,0,0
Norte,RO,11,30/03/2020,14,1777225,6,0,0,0
Norte,RO,11,31/03/2020,14,1777225,8,2,1,1
Norte,RO,11,01/04/2020,14,1777225,9,1,1,0
Norte,RO,11,02/04/2020,14,1777225,10,1,1,0
Norte,RO,11,03/04/2020,14,1777225,10,0,1,0
Norte,RO,11,04/04/2020,14,1777225,11,1,1,0
Norte,RO,11,05/04/2020,15,1777225,12,1,1,0
Norte,RO,11,06/04/2020,15,1777225,14,2,1,0
Norte,RO,11,07/04/2020,15,1777225,18,4,1,0
Norte,RO,11,08/04/2020,15,1777225,18,0,1,0
Norte,RO,11,09/04/2020,15,1777225,28,10,2,1
Norte,RO,11,10/04/2020,15,1777225,32,4,2,0
Norte,RO,11,11/04/2020,15,1777225,33,1,2,0
Norte,RO,11,12/04/2020,16,1777225,35,2,2,0
Norte,RO,11,13/04/2020,16,1777225,42,7,2,0
Norte,RO,11,14/04/2020,16,1777225,64,22,2,0
Norte,RO,11,15/04/2020,16,1777225,69,5,2,0
Norte,RO,11,16/04/2020,16,1777225,76,7,3,1
Norte,RO,11,17/04/2020,16,1777225,92,16,3,0
Norte,RO,11,18/04/2020,16,1777225,110,18,3,0
Norte,RO,11,19/04/2020,17,1777225,128,18,4,1
Norte,RO,11,20/04/2020,17,1777225,160,32,4,0
Norte,RO,11,21/04/2020,17,1777225,199,39,4,0
Norte,RO,11,22/04/2020,17,1777225,223,24,5,1
Norte,RO,11,23/04/2020,17,1777225,250,27,5,0
Norte,RO,11,24/04/2020,17,1777225,290,40,5,0
Norte,RO,11,25/04/2020,17,1777225,328,38,7,2
